year,month,day,temp high,temp avg,temp low,DP high,DP avg,DP low,humidity high,humidity avg,humidity low,SLP high,SLP avg,SLP low,visibility high,visibility avg,visibility low,wind high,wind avg,wind high,Rainfall,,
2008,3,28,30,28,26,25,24,23,84,77,70,1009,1007,1006,8,7,5,19,11,-,0, ,
2008,3,29,30,28,25,24,23,22,89,76,66,1011,1009,1007,8,7,5,16,11,-,0, ,
2008,3,30,30,28,27,24,23,20,79,73,55,1011,1007,1005,8,7,5,14,8,-,0, ,
2008,3,31,30,28,27,24,23,22,84,72,62,1009,1007,1005,8,7,6,19,10,-,0, ,
2008,4,1,31,27,24,24,20,15,89,64,48,1010,1008,1006,8,6,5,34,11,-,0, ,
2008,4,2,29,27,25,22,21,18,74,67,61,1011,1009,1007,7,5,4,14,5,-,0, ,
2008,4,3,29,27,24,24,22,21,83,74,66,1012,1009,1007,8,7,5,26,8,-,0, ,
2008,4,4,30,27,24,22,18,15,83,65,40,1011,1010,1008,7,6,5,24,11,-,0,Rain,
2008,4,5,32,28,24,22,19,16,74,55,40,1013,1011,1008,7,6,4,23,14,-,0, ,
2008,4,6,32,28,25,21,19,16,74,57,38,1013,1011,1009,8,6,5,23,13,-,0, ,
2008,4,7,32,29,26,20,18,14,69,54,33,1011,1009,1007,8,6,4,23,10,-,0, ,
2008,4,8,31,27,24,21,15,10,83,44,27,1010,1007,1005,8,6,4,23,16,-,0, ,
2008,4,9,31,27,23,22,18,13,73,56,35,1009,1007,1004,8,6,4,24,8,-,0, ,
2008,4,10,31,27,24,23,20,17,74,60,43,1008,1005,1003,6,5,2,23,6,-,0, ,
2008,4,11,31,28,25,24,21,20,84,66,52,1007,1005,1003,6,5,4,19,5,-,0, ,
2008,4,12,30,28,25,25,23,20,94,76,66,1008,1006,1004,6,5,4,14,8,-,0, ,
2008,4,13,30,28,25,25,24,22,89,78,70,1008,1006,1004,6,5,2,23,14,-,0, ,
2008,4,14,31,28,26,26,23,2,84,73,21,1008,1006,1005,6,6,5,27,14,-,0, ,
2008,4,15,30,28,26,24,23,21,89,73,58,1010,1008,1006,7,6,4,14,10,-,0, ,
2008,4,16,30,28,26,25,23,22,83,72,62,1010,1008,1006,7,6,5,23,11,-,0, ,
2008,4,17,31,29,27,25,24,24,84,76,70,1008,1005,1003,8,7,5,19,11,-,0, ,
2008,4,18,31,28,26,25,24,24,89,76,66,1007,1004,1002,8,6,4,19,13,-,0, ,
2008,4,19,31,29,27,26,25,24,84,77,70,1007,1005,1003,7,6,5,14,10,-,0, ,
2008,4,20,31,29,28,26,24,24,89,75,66,1007,1005,1003,6,5,4,16,6,-,0, ,
2008,4,21,31,29,27,27,25,24,94,78,66,1006,1004,1002,6,5,0,23,6,-,0,Fog,
2008,4,22,32,30,28,27,25,22,94,74,62,1006,1004,1002,6,5,4,14,8,-,0,Fog,
2008,4,23,32,29,27,27,26,25,94,80,70,1009,1007,1005,6,5,0,13,6,-,0,Fog,
2008,4,24,32,29,27,26,24,23,94,73,62,1010,1007,1005,6,5,3,16,6,-,0, ,
2008,4,25,31,28,26,25,24,22,89,73,62,1011,1009,1006,6,5,4,19,13,-,0, ,
2008,4,26,31,29,27,25,23,23,89,69,62,1010,1007,1004,8,7,5,14,11,-,0, ,
2008,4,27,31,29,27,25,24,23,79,73,66,1006,1004,1003,7,6,5,19,11,-,0, ,
2008,4,28,31,29,27,24,24,23,84,70,62,1005,1003,1001,9,7,5,23,14,-,0, ,
2008,4,29,31,30,29,26,25,24,79,73,66,1005,1003,1001,9,7,6,16,10,-,0, ,
2008,4,30,32,30,28,26,25,23,79,72,62,1006,1004,1002,8,7,5,23,8,-,0,,
2008,5,1,33,30,28,26,25,24,84,71,59,1005,1002,999,8,7,5,14,10,-,0, ,
2008,5,2,32,30,28,26,24,20,84,67,55,1002,1000,998,8,8,5,27,10,-,0, ,
2008,5,3,32,30,28,27,25,23,84,74,62,1002,1000,998,9,7,5,14,5,-,0, ,
2008,5,4,33,29,26,25,23,17,79,67,40,1004,1003,1001,8,7,4,16,13,23,0, ,
2008,5,5,31,28,25,26,23,19,84,72,51,1005,1003,1001,7,6,4,16,10,-,0, ,
2008,5,6,31,27,24,24,22,21,89,70,55,1005,1004,1002,8,7,5,21,16,-,0, ,
2008,5,7,32,29,27,27,23,20,89,68,52,1006,1004,1002,8,7,5,19,11,-,0, ,
2008,5,8,32,29,27,26,25,24,84,75,66,1007,1005,1003,8,7,5,13,8,-,0, ,
2008,5,9,31,28,25,26,24,22,89,73,62,1006,1004,1002,8,7,6,14,11,-,0, ,
2008,5,10,32,30,28,27,24,21,89,69,52,1005,1003,1001,8,6,5,19,6,-,0, ,
2008,5,11,31,29,28,26,24,23,79,72,66,1005,1003,1000,6,6,5,19,11,-,0, ,
2008,5,12,31,28,25,26,23,20,79,66,52,1005,1003,1001,9,7,5,19,10,-,0, ,
2008,5,13,32,30,26,26,24,23,94,72,62,1006,1004,1001,7,6,4,34,10,-,0,"Rain , Thunderstorm",
2008,5,14,30,28,26,25,24,23,89,75,66,1005,1003,1000,7,6,5,16,6,-,0, ,
2008,5,15,31,28,26,25,24,22,89,75,66,1004,1002,1000,8,7,5,19,8,-,0,"Rain , Thunderstorm",
2008,5,16,31,28,25,25,24,23,89,77,66,1002,1001,999,7,6,4,19,11,-,0, ,
2008,5,17,28,26,24,25,23,22,89,86,79,1002,1000,999,6,5,4,14,11,-,0,"Rain , Thunderstorm",
2008,5,18,32,28,25,27,25,22,84,76,66,1003,1001,999,8,7,4,32,19,-,0, ,
2008,5,19,31,27,24,25,22,20,94,69,58,1006,1004,1002,9,7,2,21,11,-,0,"Rain , Thunderstorm",
2008,5,20,30,27,24,23,22,20,83,68,58,1006,1004,1002,8,8,6,24,10,-,0, ,
2008,5,21,30,28,26,25,24,22,79,74,66,1005,1004,1002,8,8,6,19,11,-,0, ,
2008,5,22,31,29,28,26,24,24,84,73,66,1006,1004,1002,8,7,6,23,14,-,0, ,
2008,5,23,32,30,27,26,24,23,89,75,66,1007,1005,1004,9,7,6,19,11,-,0, ,
2008,5,24,30,28,26,25,24,23,89,78,70,1005,1004,1002,8,7,6,14,6,-,0, ,
2008,5,25,30,28,27,25,24,23,89,79,66,1004,1003,1002,7,6,5,23,11,-,0,Rain,
2008,5,26,29,28,27,26,24,23,84,79,74,1005,1004,1003,8,7,6,16,14,-,0,Thunderstorm,
2008,5,27,30,28,27,25,24,24,84,79,70,1006,1004,1001,8,7,5,26,16,-,0,"Rain , Thunderstorm",
2008,5,28,30,28,26,25,24,22,89,79,70,1003,1002,1001,8,6,4,26,14,-,0,Rain,
2008,5,29,32,29,26,27,26,23,89,82,74,1004,1002,1001,8,7,6,23,13,-,0, ,
2008,5,30,32,30,28,28,27,25,89,80,70,1005,1003,1001,7,7,6,26,18,-,0, ,
2008,5,31,30,28,25,25,23,21,83,74,66,1006,1004,1002,8,7,6,23,14,-,0, ,
2008,6,1,31,29,28,25,24,23,84,74,70,1006,1004,1002,8,7,5,155,16,-,0, ,
2008,6,2,31,29,27,24,24,23,84,72,62,1006,1004,1003,8,7,5,14,11,-,0, ,
2008,6,3,31,29,27,26,25,24,94,80,74,1008,1006,1004,8,7,6,23,11,-,0,Rain,
2008,6,4,31,29,27,26,26,24,89,80,70,1008,1006,1004,8,7,5,19,11,-,0,Rain,
2008,6,5,28,27,26,25,24,23,94,86,79,1005,1002,1000,8,5,1,19,11,-,0,"Rain , Thunderstorm",
2008,6,6,29,28,27,25,24,23,84,78,70,1002,1000,998,8,8,6,23,13,-,0, ,
2008,6,7,30,28,27,25,24,23,89,76,70,1004,1002,1001,7,6,6,26,19,-,0, ,
2008,6,8,31,28,26,25,24,22,83,74,66,1005,1003,1001,8,7,6,19,13,-,0,Rain,
2008,6,9,31,28,26,25,24,23,89,80,62,1005,1004,1002,8,7,5,26,18,-,0,Rain,
2008,6,10,30,29,28,25,24,24,84,79,74,1005,1003,1001,9,7,6,32,24,-,0, ,
2008,6,11,31,29,27,26,25,23,89,80,66,1004,1003,1000,8,6,5,29,16,-,0, ,
2008,6,12,30,28,26,26,25,24,94,82,74,1003,1001,999,8,7,5,27,18,-,0,"Rain , Thunderstorm",
2008,6,13,31,29,28,27,26,24,89,79,70,1002,998,996,9,7,7,34,19,-,0, ,
2008,6,14,32,29,27,27,25,24,94,76,66,998,996,993,10,8,6,16,13,-,0, ,
2008,6,15,33,30,27,26,24,23,94,77,59,997,995,993,9,7,5,21,6,-,0,Rain,
2008,6,16,28,27,26,25,25,24,94,90,84,996,994,993,9,5,1,37,32,-,0,Rain,
2008,6,17,27,26,25,25,24,23,100,93,84,1000,998,995,4,2,1,34,26,-,0,Rain,
2008,6,18,27,26,25,25,24,23,94,87,79,1003,1001,1000,6,4,1,26,18,-,0,Rain,
2008,6,19,29,27,25,27,24,23,100,88,79,1005,1003,1002,8,5,0,34,16,-,0,Rain,
2008,6,20,29,27,26,25,24,23,89,80,74,1005,1004,1003,7,6,5,19,11,-,0, ,
2008,6,21,30,27,24,26,24,23,94,84,70,1005,1002,1000,8,5,1,21,13,-,0,Rain,
2008,6,22,30,28,27,26,26,24,89,83,79,1003,1002,1000,8,7,6,23,14,-,0, ,
2008,6,23,31,29,27,27,26,24,89,79,74,1002,1001,999,8,7,6,24,18,-,0, ,
2008,6,24,31,29,27,26,25,24,84,77,70,1001,1000,997,8,7,6,23,14,-,0, ,
2008,6,25,31,29,27,25,24,23,89,77,62,1001,1001,999,8,7,4,27,14,-,0,Rain,
2008,6,26,30,28,27,26,24,24,89,80,70,1002,1001,999,8,7,4,24,19,-,0,Rain,
2008,6,27,30,28,26,25,24,24,94,77,70,1003,1001,999,8,7,5,26,19,-,0, ,
2008,6,28,30,28,27,25,24,24,89,80,70,1002,1000,998,10,8,5,27,19,-,0,Rain,
2008,6,29,27,26,25,26,25,24,94,93,89,1003,1002,1001,6,5,4,19,16,-,0,Rain,
2008,6,30,26,26,25,25,25,24,94,93,89,1004,1002,1001,6,5,4,26,18,-,0,Rain,
2008,7,1,27,26,25,25,22,2,94,86,21,1005,1004,1002,8,5,3,163,26,-,0,Rain,
2008,7,2,26,26,25,25,24,23,94,93,83,1004,1002,1001,7,4,2,23,16,-,0,Rain,
2008,7,3,28,27,25,27,25,24,100,93,89,1004,1002,1001,5,4,3,19,11,-,0,Rain,
2008,7,4,27,26,25,25,25,24,100,91,89,1003,1001,999,6,5,2,29,16,-,0,Rain,
2008,7,5,27,26,25,25,24,24,94,92,84,1002,1001,999,7,5,4,19,13,-,0,Rain,
2008,7,6,27,26,25,25,24,24,94,90,84,1000,999,998,7,6,5,19,16,-,0,Rain,
2008,7,7,28,27,25,25,24,23,100,89,84,998,997,995,7,5,4,24,14,-,0,Rain,
2008,7,8,31,28,25,25,24,23,94,80,70,1000,998,995,8,7,5,27,21,-,0,Rain,
2008,7,9,30,28,27,26,24,23,89,79,74,1003,1001,1000,8,7,6,27,16,-,0,Rain,
2008,7,10,30,28,27,25,24,23,84,79,74,1005,1003,1002,8,7,5,24,18,-,0,Rain,
2008,7,11,29,27,26,25,24,23,89,84,79,1004,1002,1000,9,7,4,23,16,-,0,Rain,
2008,7,12,27,26,26,24,23,23,89,85,79,1002,1002,1001,8,7,7,23,18,-,0, ,
2008,7,13,27,26,26,26,25,24,100,94,89,1004,1002,1000,5,3,1,26,11,-,0,Rain,
2008,7,14,27,26,25,25,25,24,100,94,89,1006,1004,1003,5,5,4,26,14,-,0,Rain,
2008,7,15,27,26,25,25,24,24,94,90,89,1005,1003,1002,8,6,5,27,18,-,0,Rain,
2008,7,16,27,26,26,25,24,24,94,90,89,1002,1001,998,8,6,4,23,16,-,0,Rain,
2008,7,17,27,27,26,25,24,24,94,87,84,1001,1000,998,8,7,6,23,16,-,0, ,
2008,7,18,29,28,27,26,25,24,89,85,79,1002,1000,999,8,8,7,27,18,-,0, ,
2008,7,19,30,28,25,26,24,24,94,85,79,1003,1002,1000,7,6,3,24,16,-,0,Rain,
2008,7,20,29,27,26,25,24,24,89,82,74,1006,1004,1003,8,7,6,23,18,-,0, ,
2008,7,21,29,28,27,26,25,24,89,84,79,1006,1004,1002,9,8,6,19,16,-,0, ,
2008,7,22,30,28,27,26,25,24,89,81,74,1004,1003,1002,8,8,6,19,13,-,0, ,
2008,7,23,30,28,27,26,25,24,89,81,74,1004,1002,1000,8,7,6,19,14,-,0, ,
2008,7,24,31,28,26,27,26,24,89,85,75,1003,1000,998,8,7,6,19,13,-,0, ,
2008,7,25,29,28,27,26,25,24,89,84,79,1000,998,996,10,8,6,21,13,-,0,Rain,
2008,7,26,30,28,27,26,25,24,89,82,74,1000,999,997,10,8,5,23,10,-,0, ,
2008,7,27,31,28,26,26,25,24,94,80,70,1000,999,997,9,7,4,14,3,-,0,Rain,
2008,7,28,30,28,27,25,24,22,84,75,66,1002,1000,998,10,8,6,29,21,-,0, ,
2008,7,29,30,28,27,26,24,23,89,77,70,1002,1001,999,8,7,6,27,19,-,0, ,
2008,7,30,30,28,26,25,24,22,89,76,66,1001,1000,997,9,8,4,29,21,-,0,Rain,
2008,7,31,29,28,27,25,24,24,89,80,74,1003,1002,1000,8,8,8,23,18,-,0, ,
2008,8,1,31,29,28,26,26,24,89,80,70,1004,1003,1001,8,7,6,23,13,-,0, ,
2008,8,2,31,29,27,26,25,24,89,78,70,1004,1002,1000,8,8,6,16,11,-,0, ,
2008,8,3,32,29,27,25,24,24,84,74,66,1004,1002,1001,8,8,7,23,14,-,0, ,
2008,8,4,31,28,26,25,24,23,84,77,70,1004,1003,1002,9,8,6,23,16,-,0,Rain,
2008,8,5,29,27,26,25,24,23,94,82,70,1005,1003,1001,8,7,6,26,19,-,0, ,
2008,8,6,30,28,26,26,25,24,89,84,74,1001,1000,999,8,7,5,23,16,-,0,Rain,
2008,8,7,30,28,26,26,25,24,89,80,74,999,995,993,10,7,5,14,10,-,0,Rain,
2008,8,8,32,30,28,27,26,24,89,77,70,996,994,992,7,7,5,19,6,-,0, ,
2008,8,9,30,28,27,26,24,23,89,79,70,997,995,994,10,8,5,27,18,-,0,"Rain , Thunderstorm",
2008,8,10,30,28,26,25,24,24,89,83,74,999,998,996,8,7,5,29,23,-,0,Rain,
2008,8,11,28,27,26,26,26,25,94,92,89,1000,999,998,5,4,3,23,18,-,0,Rain,
2008,8,12,30,28,26,27,26,24,100,88,79,1004,1002,999,8,7,6,23,16,-,0, ,
2008,8,13,28,27,26,26,25,24,94,89,89,1004,1002,1001,7,6,3,19,16,-,0,Rain,
2008,8,14,30,28,26,26,25,23,94,85,74,1003,1002,1000,7,6,4,27,21,-,0,Rain,
2008,8,15,29,27,26,25,24,24,89,85,74,1003,1002,1000,8,6,5,26,21,-,0,Rain,
2008,8,16,30,28,26,25,24,24,89,82,70,1004,1002,1001,8,7,5,24,18,-,0, ,
2008,8,17,27,26,25,26,24,24,100,92,89,1006,1004,1003,6,3,1,19,13,-,0,Rain,
2008,8,18,26,26,25,25,25,24,100,97,94,1005,1003,1002,4,3,2,24,14,-,0,Rain,
2008,8,19,29,27,25,26,25,24,94,87,74,1004,1003,1001,8,6,5,23,13,-,0,Rain,
2008,8,20,29,27,26,25,24,23,89,82,74,1006,1004,1002,10,8,5,27,21,-,0, ,
2008,8,21,29,27,26,25,24,23,89,80,70,1004,1003,1002,8,7,5,14,13,-,0, ,
2008,8,22,30,28,26,25,24,23,89,77,66,1005,1003,1001,8,7,5,21,10,-,0,Rain,
2008,8,23,30,28,27,26,24,24,84,78,74,1005,1004,1002,8,6,5,13,10,-,0, ,
2008,8,24,30,28,27,26,25,24,89,82,70,1007,1006,1003,8,7,6,23,13,-,0, ,
2008,8,25,29,28,26,25,25,24,89,84,79,1009,1007,1006,8,7,5,14,13,-,0, ,
2008,8,26,30,28,26,26,25,24,94,81,74,1009,1007,1006,8,7,5,16,11,-,0, ,
2008,8,27,29,28,27,26,25,23,89,84,74,1007,1005,1004,8,6,4,23,11,-,0,Rain,
2008,8,28,29,27,26,26,26,25,94,88,84,1005,1004,1002,6,5,4,23,16,-,0,Rain,
2008,8,29,29,27,25,26,25,24,100,92,84,1007,1004,1003,7,4,2,23,14,-,0,"Rain , Thunderstorm",
2008,8,30,28,27,26,26,24,24,94,88,79,1008,1006,1004,7,6,5,19,14,-,0, ,
2008,8,31,29,27,26,26,25,24,94,86,79,1010,1007,1005,7,6,6,14,11,-,0, ,
2008,9,1,30,28,26,26,25,22,94,81,62,1009,1007,1004,8,7,6,13,6,-,0, ,
2008,9,2,30,28,27,26,26,25,89,82,74,1008,1007,1005,8,7,5,11,8,-,0, ,
2008,9,3,27,-,27,25,25,25,89,89,89,1007,1007,1007,6,6,6,14,14,-,0, ,
2008,9,4,27,26,25,25,24,24,94,90,89,1008,1006,1005,8,7,5,14,13,-,0,Rain,
2008,9,5,26,24,24,24,24,23,100,91,89,1009,1006,1005,6,5,4,14,8,-,0,Rain,
2008,9,6,29,27,25,25,24,22,89,80,66,1006,1005,1003,10,8,5,14,6,-,0, ,
2008,9,7,30,28,26,26,25,23,89,83,74,1006,1005,1002,8,7,5,14,8,-,0, ,
2008,9,8,30,28,26,26,24,23,94,81,70,1007,1005,1002,10,7,5,14,13,-,0,"Rain , Thunderstorm",
2008,9,9,31,29,27,26,24,23,94,78,66,1007,1005,1002,10,8,5,14,8,-,0, ,
2008,9,10,32,29,26,27,25,24,94,76,62,1006,1004,1002,9,7,4,19,6,-,0,"Rain , Thunderstorm",
2008,9,11,32,30,28,26,24,23,84,70,59,1006,1004,1001,8,8,6,19,11,-,0,Thunderstorm,
2008,9,12,31,29,26,26,24,23,84,78,70,1005,1003,1001,8,7,5,19,13,-,0,Thunderstorm,
2008,9,13,30,28,26,26,25,24,89,82,74,1005,1003,1000,8,6,5,14,3,-,0,Rain,
2008,9,14,31,29,27,26,25,24,94,82,74,1004,1002,999,8,7,5,14,8,-,0,"Rain , Thunderstorm",
2008,9,15,31,29,27,26,24,23,94,73,62,1002,1000,998,10,7,4,14,8,-,0, ,
2008,9,16,31,28,26,24,23,22,84,75,66,1003,1001,999,10,7,6,39,21,-,0, ,
2008,9,17,30,28,27,26,24,23,89,82,74,1006,1004,1002,7,6,5,27,21,-,0,Rain,
2008,9,18,31,29,27,25,24,23,89,79,66,1007,1005,1004,8,7,5,23,16,-,0, ,
2008,9,19,31,29,27,26,25,24,94,80,70,1008,1006,1004,9,7,4,14,10,-,0,"Rain , Thunderstorm",
2008,9,20,31,29,27,26,26,25,89,79,70,1008,1006,1004,9,7,4,23,11,-,0,"Rain , Thunderstorm",
